,DLNR ID,Avg (ft),Min (ft),Max (ft),Med (ft),Std (ft)
8,KA-0010,9.0,6.8,17.5,8.3,2.29
12,KA-0012,36.9,26.5,44.4,37.0,1.43
20,KA-0014,3.7,3.3,19.8,3.6,1.03
26,KA-0015,16.0,7.8,34.3,16.1,2.21
27,KA-0016,20.0,1.3,28.0,20.3,3.67
18,KA-0024,6.7,4.0,15.8,6.6,1.18
0,KA-0030,19.4,17.4,23.3,19.5,1.03
13,KA-0060,26.3,20.8,30.4,26.5,2.11
21,KA-0098,75.8,38.3,100.9,77.1,17.72
7,KA-0099,14.7,12.2,19.4,14.7,0.98
14,KA-0103,21.7,-15.2,42.0,20.4,11.13
15,KA-0104,22.6,17.4,39.2,22.8,2.19
16,KA-0112,26.3,22.0,37.7,26.3,1.51
17,KA-0117,18.3,15.9,63.2,18.2,1.5
19,KA-0119,3.9,-4.4,11.2,5.9,4.38
23,KA-0120,22.9,4.9,43.6,24.6,7.8
22,KA-0121,15.2,10.5,29.5,15.0,1.99
32,MA-0068,10.8,9.6,17.6,10.0,1.69
31,MA-0069,16.1,14.8,16.3,16.1,0.09
9,MA-0073,-2.3,-2.6,6.2,-2.3,0.33
28,MA-0094,14.3,12.4,35.8,14.3,1.12
29,MA-0095,11.5,11.0,20.1,11.5,0.34
30,MA-0096,3.7,3.4,9.1,3.7,0.31
25,OA-0001,26.0,15.4,44.3,26.5,4.32
3,OA-0017,69.6,56.8,82.3,68.6,5.09
11,OA-0018,967.2,947.2,982.2,970.8,10.28
6,OA-0021,17.3,12.9,20.8,17.3,1.36
4,OA-0022,40.4,25.2,46.2,41.5,4.4
5,OA-0023,23.0,19.6,29.0,23.0,1.14
2,OA-0025,15.3,12.7,20.4,17.2,2.23
24,OA-0124,160.0,159.9,163.5,160.0,0.12
10,OA-0154,382.1,381.1,394.5,381.4,1.94
1,OA-0156,5.9,5.9,7.5,5.9,0.12
